"HATSUN AGRO PRODUCT LIMITED.,",,,,,,,,,,,,,
Milk Route Vehicle Running K.M.,,,,,,,,,,,,,
C.C. Name : Malkaranja CC (1280),,,,Route Name : Gopalwadi (M13831),,,,,Vehicle Model : Pickup,,,,
Points Sequence,SAP Code,Name of the HMB / B.V. / Farm / Village,Morning,,,,Evening,,,,,,
,,,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Google KM,HMB/B.V/Farm Lat & Long,
,,,Arrival Time,Departure Time,,,Arrival Time,Departure Time,,,,,
,,CC,,,,0,,,,0,,"18.406253381895326, 76.11028540932786",CC Location
1,231768,GOPALWADI,07:50:00,07:55:00,2,22,19:50:00,19:55:00,2,22,19.2,"18.435216386860343, 76.02716475955654",
2,231630,KOMBADWADI,08:40:00,08:45:00,2,12.5,20:15:00,20:20:00,2,12.5,11.1,"18.407258733877278, 76.07658600224336",
3,231626,WAKHARWADI,09:00:00,09:05:00,4,2.5,20:30:00,20:34:00,4,2.5,2.5,"18.39542199634785, 76.08193225054356",
,,CC,09:30:00,,,5.7,21:40:00,,,5.7,5.9,"18.406253381895326, 76.11028540932786",
,,Total,,,8,42.7,,,8,42.7,38.699999999999996,,
Running K.M./ Day,,W.E.F Date,Reason for change & Remarks,,,,,,,,,,
Old,0,28.01.26,New CC Malkaranja CC,,,,,,,,,,
New,86,,,,,,,,,,,,
Diff.,86,,,,,,,,,,,,
