"HATSUN AGRO PRODUCT LIMITED.,",,,,,,,,,,,,,
Milk Route Vehicle Running K.M.,,,,,,,,,,,,,
C.C. Name : Malkaranja CC (1280),,,,Route Name : Gour (M13832),,,,,Vehicle Model : Pickup,,,,
Points Sequence,SAP Code,Name of the HMB / B.V. / Farm / Village,Morning,,,,Evening,,,,,,
,,,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Google KM,HMB/B.V/Farm Lat & Long,
,,,Arrival Time,Departure Time,,,Arrival Time,Departure Time,,,,,
,,CC,,,,0,,,,0,,"18.406253381895326, 76.11028540932786",CC Location
1,231780,GOUR,08:00:00,08:05:00,2,21.3,20:00:00,20:05:00,3,21.3,21.3,"18.41333262608095, 75.96754942817007",
2,231771,BORDA,08:35:00,08:40:00,2,18.2,20:35:00,20:40:00,2,18.2,18.2,"18.51928247776766, 76.02554268701795",
3,231627,GOVINDPUR,09:00:00,09:05:00,5,15.6,21:00:00,21:05:00,4,15.6,15.6,"18.456327, 76.091197",
4,231629,MALKARANJA,09:15:00,09:20:00,2,5.9,21:15:00,21:20:00,2,5.9,5.9,"18.416264, 76.095636",
,,CC,09:45:00,,,2.8,21:50:00,,,2.8,2.8,"18.406253381895326, 76.11028540932786",
,,Total,,,11,63.8,,,11,63.8,63.8,,
Running K.M./ Day,,W.E.F Date,Reason for change & Remarks,,,,,,,,,,
Old,0,28.01.26,New CC Malkaranja CC,,,,,,,,,,
New,127.6,,,,,,,,,,,,
Diff.,127.6,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1000,231780,26.01.2026,1,M13832,21.3,,,,,,,,
1000,231771,26.01.2026,2,M13832,18.2,,,,,,,,
1000,231627,26.01.2026,3,M13832,15.6,,,,,,,,
1000,231629,26.01.2026,4,M13832,8.7,,,,,,,,
