"HATSUN AGRO PRODUCT LIMITED.,",,,,,,,,,,,,,
Milk Route Vehicle Running K.M.,,,,,,,,,,,,,
C.C. Name : BASARAGE(1287)        ,,,, Route Name :  BASARAGE (M13834),,,,Model:TATA ACE,,,,,
Points Sequence,SAP Code,Name of the HMB / B.V. / Farm,Morning,,,,Evenning,,,,,,
,,,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Google KM,HMB / B.V. / Farm  Lat & Long ,
,,,Arrival Time,Departure Time,,,Arrival Time,Departure Time,,,,,
1,231654,NITTUR,07:30:00,07:40:00,3,12.3,19:10:00,19:20:00,3,12.3,12.3,"15.991412,74.367521",
2,231651,KADALAGE KH,07:50:00,08:00:00,2,10,19:30:00,19:40:00,2,10,10,"15.939384, 74.349954",
3,231653,KAREKUNDI,08:15:00,08:20:00,4,3,19:55:00,20:00:00,4,3,3,"15.937160,74.368257",
,1287,BASARGE CC,08:35:00,,,6.8,08:15:00,,,6.8,6.8,"15.914753,74.320887",CC Location
,,,,,9,32.1,,,9,32.1,32.1,,
,,Total,,,,,,,,,,,
Running K.M./ Day,,W.E.F Date,Reason for Changing,,,,,,,,,,
Old,0,30.01.2026,Basarge New cc,,,,,,,,,,
New,64.2,,,,,,,,,,,,
Diff.,64.2,,,,,,,,,,,,
,,,,,,,,,,,,,
1000,231654,26.01.2026,1,M13834,12.3,,,,,,,,
1000,231651,26.01.2026,2,M13834,10,,,,,,,,
1000,231653,26.01.2026,3,M13834,9.7,,,,,,,,
